epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3508,1.17191,0.59961,0.88548,0.80757,0.58925,0.67074,0.40897,1.14424,0.57863,0.88559,0.0011882,0.0011882,0.0011882
43,3591.27,1.17258,0.59937,0.88615,0.80888,0.58758,0.67288,0.40895,1.14541,0.57386,0.88363,0.0011684,0.0011684,0.0011684
44,3673.83,1.1641,0.59331,0.88304,0.81308,0.59033,0.67568,0.41124,1.14534,0.57313,0.8842,0.0011486,0.0011486,0.0011486
45,3757.89,1.16395,0.59099,0.88079,0.80953,0.59258,0.6771,0.41348,1.13712,0.56494,0.88248,0.0011288,0.0011288,0.0011288
46,3840.95,1.15683,0.58584,0.88127,0.81127,0.59292,0.67727,0.41302,1.13794,0.57052,0.88205,0.001109,0.001109,0.001109
47,3923.21,1.1604,0.58667,0.88172,0.81655,0.59306,0.67955,0.41584,1.13751,0.5632,0.88377,0.0010892,0.0010892,0.0010892
48,4011.32,1.1481,0.58152,0.87822,0.80472,0.598,0.67827,0.41335,1.13635,0.56782,0.88128,0.0010694,0.0010694,0.0010694
49,4104.47,1.1484,0.58305,0.8797,0.81226,0.59669,0.68077,0.4167,1.12905,0.56112,0.87928,0.0010496,0.0010496,0.0010496
50,4198.32,1.14763,0.5789,0.87828,0.81747,0.59478,0.6807,0.41614,1.13509,0.56108,0.88187,0.0010298,0.0010298,0.0010298
51,4302.5,1.14476,0.57646,0.87731,0.81151,0.60023,0.68119,0.41651,1.13029,0.56146,0.88146,0.00101,0.00101,0.00101
52,4410.89,1.14153,0.57204,0.8767,0.81897,0.59995,0.68567,0.41982,1.12541,0.55989,0.87924,0.0009902,0.0009902,0.0009902
53,4519.64,1.13962,0.57388,0.8761,0.81022,0.60313,0.68386,0.41925,1.12971,0.5562,0.88037,0.0009704,0.0009704,0.0009704
54,4627.5,1.13306,0.56898,0.87615,0.81863,0.59631,0.68126,0.41831,1.12573,0.55806,0.88011,0.0009506,0.0009506,0.0009506
55,4736.3,1.13785,0.57066,0.87651,0.81393,0.59864,0.68381,0.41952,1.12829,0.55449,0.88058,0.0009308,0.0009308,0.0009308
56,4844.21,1.13648,0.57027,0.87698,0.81648,0.60385,0.68557,0.42066,1.12693,0.55444,0.88037,0.000911,0.000911,0.000911
57,4950.61,1.13487,0.56784,0.8754,0.81738,0.60312,0.68715,0.42249,1.12369,0.55342,0.87976,0.0008912,0.0008912,0.0008912
58,5056.78,1.12739,0.56493,0.87396,0.81426,0.60426,0.68542,0.42203,1.12465,0.55157,0.88017,0.0008714,0.0008714,0.0008714
59,5164.2,1.12465,0.56135,0.87441,0.81894,0.60267,0.68781,0.42332,1.1188,0.551,0.87789,0.0008516,0.0008516,0.0008516
60,5263.46,1.11711,0.55536,0.87407,0.81687,0.60305,0.68725,0.42241,1.12181,0.54749,0.87883,0.0008318,0.0008318,0.0008318
61,5346.07,1.11547,0.55566,0.87226,0.82265,0.60372,0.68929,0.42389,1.11923,0.54536,0.87898,0.000812,0.000812,0.000812
62,5428.68,1.11325,0.55451,0.87242,0.8225,0.60339,0.68902,0.4244,1.12079,0.54652,0.87857,0.0007922,0.0007922,0.0007922
63,5511.14,1.11219,0.55459,0.8731,0.82144,0.60595,0.6912,0.42492,1.12086,0.54837,0.87861,0.0007724,0.0007724,0.0007724
64,5593.89,1.10826,0.5489,0.86961,0.82089,0.60493,0.68997,0.4257,1.11501,0.5441,0.87788,0.0007526,0.0007526,0.0007526
65,5676.48,1.10755,0.549,0.87074,0.82079,0.60378,0.6913,0.42607,1.11664,0.54319,0.87736,0.0007328,0.0007328,0.0007328
66,5759.33,1.10125,0.54513,0.86937,0.82363,0.60677,0.69265,0.42705,1.11575,0.54066,0.87845,0.000713,0.000713,0.000713
67,5841.71,1.10951,0.54947,0.86901,0.82572,0.6057,0.69312,0.42646,1.11834,0.54116,0.8793,0.0006932,0.0006932,0.0006932
68,5924,1.09974,0.54369,0.86819,0.82833,0.604,0.69303,0.42738,1.11387,0.54313,0.8779,0.0006734,0.0006734,0.0006734
69,6006.4,1.09819,0.54188,0.86992,0.82617,0.60518,0.69296,0.42663,1.11667,0.53966,0.87779,0.0006536,0.0006536,0.0006536
